id,name,email,cpf,phone,address_street,address_number,address_complement,address_neighborhood,address_city,address_state,address_zip,is_active,created_at,updated_at,created_by_user_id,updated_by_user_id
8f6cc03d-5f84-4169-a7c5-31bc8648b9dd,Cliente Exemplo 1,cliente_1@provedor.com.br,93187445543,11938960812,,,,,,,,True,2025-09-19 00:49:35,2025-09-19 00:49:35,,
694503de-8b55-4a5e-b7ae-a866478e1f24,Cliente Exemplo 2,cliente_2@provedor.com.br,55240878677,11999187531,,,,,,,,True,2025-10-18 03:31:35,2025-10-18 03:31:35,,
9244ac57-02b1-48e9-bd0e-dc146b0a5717,Cliente Exemplo 3,cliente_3@provedor.com.br,11752757065,11980665987,,,,,,,,True,2025-09-25 02:18:35,2025-09-25 02:18:35,,
2b1f2276-97da-4587-a7c6-d48c5c2c49b7,Cliente Exemplo 4,cliente_4@provedor.com.br,94422833654,11947219439,,,,,,,,True,2025-03-31 12:35:35,2025-03-31 12:35:35,,
76e15140-771e-40f1-9054-1177d6daf1f0,Cliente Exemplo 5,cliente_5@provedor.com.br,61345576245,11982878112,,,,,,,,True,2025-04-07 23:49:35,2025-04-07 23:49:35,,
a7ce44ca-9d19-42c8-ac87-16f80a97448d,Cliente Exemplo 6,cliente_6@provedor.com.br,48754560317,11930453215,,,,,,,,True,2025-08-24 10:02:35,2025-08-24 10:02:35,,
6546baeb-1ec7-480c-b61a-c5bfe35c4f9a,Cliente Exemplo 7,cliente_7@provedor.com.br,2563564803,11991917850,,,,,,,,True,2025-12-26 22:18:35,2025-12-26 22:18:35,,
15df9796-1a18-4510-9e1a-20eae5e2715d,Cliente Exemplo 8,cliente_8@provedor.com.br,58425122325,11909694104,,,,,,,,True,2025-04-08 22:09:35,2025-04-08 22:09:35,,
3ba605ea-81dd-445a-8403-5923e3552157,Cliente Exemplo 9,cliente_9@provedor.com.br,92187064746,11916970161,,,,,,,,True,2025-11-07 01:56:35,2025-11-07 01:56:35,,
01d55a44-8b7b-4ab2-b292-031b519bf590,Cliente Exemplo 10,cliente_10@provedor.com.br,95481318,11906879083,,,,,,,,True,2025-03-31 08:50:35,2025-03-31 08:50:35,,
b8f21d67-92b1-4b02-8603-c5ba8f185c14,Cliente Exemplo 11,cliente_11@provedor.com.br,90230548649,11901700875,,,,,,,,True,2026-02-28 03:11:35,2026-02-28 03:11:35,,
40943ce2-cf6a-41d3-893f-709e784c5636,Cliente Exemplo 12,cliente_12@provedor.com.br,35955263535,11959484647,,,,,,,,True,2025-10-14 21:00:35,2025-10-14 21:00:35,,
dfcaf217-00b9-41fa-88c3-03b98756bd51,Cliente Exemplo 13,cliente_13@provedor.com.br,79460676257,11941686756,,,,,,,,True,2026-02-22 22:16:35,2026-02-22 22:16:35,,
