id,email,password_hash,name,role,phone_1_ddd,phone_1_number,phone_2_ddd,phone_2_number,address_street,address_number,address_complement,address_neighborhood,address_city,address_state,address_zip,is_active,created_at,updated_at,created_by_user_id,updated_by_user_id
633cbc47-1bb8-4804-8f7e-946a1ac2c844,consultor10@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 10,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
adececea-5b45-4b98-96d4-ec606fa98f55,consultor1@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 01,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
b63b01a9-2352-4d60-bd91-4dfcb65bebd7,consultor13@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 13,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
f34cdc8c-9900-4bcc-816e-e39a4b17b41a,consultor9@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 09,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
ccb4620b-87d3-4440-b186-0101ae8eb9f4,consultor14@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 14,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
74f0b2ce-7aa5-42db-b20e-a0f090a68e79,consultor3@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 03,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
95d8fcf5-fb21-440a-ae4f-2702688535cf,consultor6@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 06,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
fa164bc2-b75d-4d8d-bdbe-a86c0f5fb94f,consultor19@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 19,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
56476dd6-cf2d-48f1-8830-4139021c75b0,consultor4@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 04,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
e8dab037-fb64-4eff-ad7f-fa01f7bddc0c,consultor18@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 18,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
1ccc96eb-aadf-4de1-b28f-ff89e5ab53d7,consultor2@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 02,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
2245d796-a6fd-492a-b470-5a40113c4691,consultor17@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 17,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
115505ab-1856-4030-9c1f-23c2ce4fa14e,consultor15@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 15,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
cf499652-92fb-462e-8259-a3b340ff5876,consultor11@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 11,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
db44183e-3df4-424a-86e1-d50599fe0756,consultor12@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 12,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
3dcab5bf-fc0d-4e07-8b74-cad5832499cd,consultor8@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 08,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
7a9495b8-31eb-4a96-9090-b89754396492,consultor16@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 16,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
17e62cba-bd8d-4e27-a147-021f4f3f1bb3,consultor20@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 20,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
40ee5f89-37d1-4bfa-9c25-981ffbee957f,consultor5@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 05,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
f0edfa50-fd23-4fea-aeb0-c9f1ac8922f9,consultor7@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Consultor 07,ATTENDANT,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
e8d6d4d9-8d8f-4e4f-a1f8-9c6d2d0d7b41,admin0@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Administrador,ADMIN,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
7b3c1f2e-5a94-4f87-8d73-2e1a9c4b6f50,gerente@empresa.com.br,$2a$12$xJ1u9393cgzOKDntmafeZuYWBUuRTLvG5snNaeIorqt4EwvcuFTgO,Gerente 01,MANAGER,,,,,,,,,,,,True,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z,,
